,comments,dateStamp
0,Stay away from the MARK OF THE BEAST HYDROGEL INJECTION THAT WILL DAMN YOUR SOUL FOREVER .,2021-05-28T22:07:08Z
1,It ' s just a small bump in the road ... please people we want you to all line up and get your shot !,2021-05-28T14:54:58Z
2,... line up sheep,2021-05-28T14:54:44Z
3,"The person infected with the virus does not know , if there are such as fever , cough , sore throat , pneumonia , difficulty breathing , pain in the whole body , especially in the , heavy head ... then just swallow the earth dragon alive . time is to stop the of that disease . Without those , life is safe . The virus slowly after . ST .",2021-05-28T13:20:21Z
4,"! Covid , mental .",2021-05-28T02:29:58Z
5,How many vaccine have been unreported ?,2021-05-28T00:55:17Z
6,What are the odds that this person would ' a bout of COVID ?,2021-05-27T23:37:02Z
7,It ' s not the first case of people dying or suffering horrible side effects from any of the . Its just the first one decided to on . Which most likely there is a lot more than 1 and there will be a lot more on the way .,2021-05-27T22:45:59Z
8,Support Legislation in the to BAN COURT ORDERED RAPE .,2021-05-27T22:10:18Z
9,", is this the vaccine that so far 2 8 c a s e s o f b l o o d c l o t s a c r o s s C a n a d a ? Is it the same vaccine that rock great Eric such disastrous side effects after taking both in March and , that h e f e a r e d h e w o u l d n e v e r p l a y a g a i n ?? And is it , in fact , the very same vaccine with of due - to - expire - on - May 31st sitting in , that the ' t . is now urging people to take ? Please see my channel Discussion page for links to these and other critical . ( Sort by > first , to view the full list )",2021-05-27T13:20:32Z
10,Did any of them take themselves ? ...,2021-05-27T08:51:34Z
11,they away from natural not covid and the cold and the flu are not covid,2021-05-27T04:12:24Z
12,Safe huh ??? And for emergency used ONLY huh !?,2021-05-27T03:19:52Z
13,at my age I have a 99 . 9 % of surviving Covid . School is still probably make these mandatory tho,2021-05-26T22:36:59Z
14,I can ' t wait to see these get theirs .,2021-05-26T22:33:23Z
15,"Still interested in knowing how me getting a vaccine , around me ? Cause it ' t .",2021-05-26T21:46:45Z
16,"It took 5 for Polio vaccine to start killing people , and crippling them , en masse .",2021-05-26T21:45:55Z
17,one death is too many for a,2021-05-26T20:56:10Z
18,"and most effective vaccine in the world is from China . We need it here , Now",2021-05-26T17:43:36Z
19,off when talking . On when mouth shut 🤔,2021-05-26T17:35:23Z
20,There are people like myself who can see all this bull kaka . And when the time is right we will rise through the power of our and in . The so time is almost over . Blessed be our Lord and savior . His child and servant . Have a great day . Amen .,2021-05-26T17:30:51Z
21,It a minimum of 15 to produce a true vaccine that is safe and effective . Anything else is just smoke and propaganda .,2021-05-26T17:19:40Z
22,", is anybody even listening to these people .",2021-05-26T16:10:27Z
23,Stupid Lab 🤣🤣,2021-05-26T15:48:30Z
24,Not the first ..,2021-05-26T15:45:41Z
25,So 1 covid death is 1 too many but a death by a vaccine is rare ......,2021-05-26T15:39:53Z
26,Not wanting the vaccine is a stupid opinion . Say any of these in out in public and everyone is going to think you ’ re slow,2021-05-26T15:08:05Z
27,Flu season is over ///,2021-05-26T15:01:01Z
28,"What ' s the now ? I ' bet they ' it to produce the effect that vaccine works . The testing is useless for viral testing according the the recently deceased inventor of , . More and More and more people are learning this purposefully hidden bit of fact . Shame on health . They must be tried for against humanity",2021-05-26T14:46:16Z
29,"The top virologist - considered one of the best in the world until he went against the Big narrative - just that all people will be dead in 2 . Let ' s see , boy 80 % by . Can you imagine 12 million dead by 2022 ? There goes the housing market !",2021-05-26T14:36:11Z
30,"wow , they can lie more than professional !",2021-05-26T14:33:33Z
31,"Wow they actually admit someone ? I to an acquaintance whose wife just . 70ish , no health , went to bed and in her sleep . Medical people had no idea why she . Heart failure ? ' t be the vaccine ! It the routine is : 1 ) die with covid and scream bloody murder ! 2 ) die after getting vaccine and shrug their , must have been old age . I wonder how many elderly are dying in their sleep and not getting on Global news .",2021-05-26T14:30:37Z
32,"This is unfortunate . Vaccine hesitancy needs to be by the government . Too many , false information , misinformation and conspiracy on social media . This may be an issue once we approach 90 % . It ' s awful seeing people being by this .",2021-05-26T14:11:24Z
33,"How is it rare !?, it been happening again and again , along with heart thrombosis , pure spin on this , the cure can kill you 100 %, but its rare 🤔.... yet Corona is 99 . 8 % survivable , how does this make sense !!!, not one death is acceptable when you are told its the cure !!!",2021-05-26T14:00:51Z
34,Another family one because of this death vaccine ! Give another dose ! Yah right ! He ’ t get first one ! Wait for long term side !,2021-05-26T13:18:09Z
35,This comment section be fun .,2021-05-26T12:56:08Z
36,how even both of you still exist remember they read wath the government them to read and they go home they get caught on shame don ' t know how those people cauld sleep they are not human,2021-05-26T12:55:01Z
37,Figure out how to work the site - adverse and are high and this only 10 % or less ....,2021-05-26T12:42:14Z
38,Scum of the 4th for .,2021-05-26T12:28:33Z
39,""" "" have no relevance . The is the killer .",2021-05-26T12:25:45Z
40,"It me these , even though people are to these , they keep saying get it done . They never state healthy , do they . Boy Big and the medical are getting and off this and humanity .",2021-05-26T11:58:00Z
41,So now death is an acceptable side effect .,2021-05-26T10:01:41Z
42,Is it still rare ?,2021-05-26T08:50:22Z
43,When blood happen over and over all over the country these vaccine side effects are no longer rare but become common,2021-05-26T08:47:11Z
44,You ' pay for this one day ..... You know who you are and what you ' re doing ... . Agenda 2030 .....,2021-05-26T08:07:49Z
45,The don ' t listen to real they just read whatever tam and them to read like good little .,2021-05-26T08:05:09Z
46,"* Pretty regular for being so rare I ' d say * - NOW WHY dont they EVER talk about all the other serious adverse that ALSO TAKE YOUR L ! FE , PERMANENTLY DISABLE YOU ... like the , continuous like , uncontrolled grand maul , blindness , heart , just ' found dead ' for no apparent reason .. and the of listed on and other . They are pretty quiet on those , one would thing ' rare ' blood were the only ' rare ' adverse reaction eh ?",2021-05-26T06:50:24Z
47,Lying filth ..,2021-05-26T05:47:24Z
48,How many people are injured or from these across Canada since have been on healthy people ? How long before you walk it back again ?!,2021-05-26T05:43:19Z
49,"Double standard , if 1 per cent die from covid for the government "" its too much ""... if 1 percent die from reaction to vaccine "" its nothing !""...",2021-05-26T05:33:42Z
50,I ' m sure that person would have more to survive covid without that vaccine ...,2021-05-26T05:28:08Z
51,"It ' s on them more than ever for not stopping these "" "" that are killing people who otherwise would have still been living if they ' t take this .",2021-05-26T05:22:01Z
52,I donate my vaccine to the oppressed .,2021-05-26T05:12:33Z
53,"I had the first dose of , I would take the second dose If I was that if I do develop the blood clot the hospital in would ' send me home to die . The one that from blood clot related from , went to the hospital they didnt treat her and sent her home a day later she went back to the hospital and then . I would rather live thanks !",2021-05-26T04:05:56Z
54,They will be coming for you !!!!,2021-05-26T02:52:30Z
55,How can the of the province be based on vaccination by the same vaccine that one and more unreported ? like a depopulation plan to me !,2021-05-26T02:33:29Z
56,How about the heart for younger people who have taken the vaccine . Its not getting better with all these side effects that are serious and sometimes fatal or long lasting .,2021-05-26T02:32:40Z
57,Two days ago he was its safety when other country ' s stopped it big coincidence I ' m sure some one had to die from the expert advice from WHO dope .,2021-05-26T01:50:32Z
58,this is why I ' m not getting it . I would rather get it and beat it .,2021-05-26T00:53:30Z
59,Get what you ask for . are next 😪,2021-05-26T00:45:11Z
60,Nobody should be taking that one . Its unethical to shame people into taking it and unethical to promote it over . .,2021-05-26T00:44:24Z
