,comments,dateStamp
0,Oh god ! When will you deal with the that are running this world ??,2021-05-29T22:04:08Z
1,"Where is the vaccine for poor nation ' s , kindly send some your are already full .",2021-05-29T16:09:16Z
2,Dirty,2021-05-29T08:59:18Z
3,Victory of SCIENCE,2021-05-29T07:16:49Z
4,"Read "" THE RIGHT """,2021-05-29T06:16:23Z
5,This is really the beginning of the end of the world ... for everyone .,2021-05-29T01:50:07Z
6,Don ' t in that age group have 99 . 99 % rare beating the virus ? Why the jab that 95 % with double ?!,2021-05-29T00:57:19Z
7,Covid losing steam in the news cycle,2021-05-28T23:04:11Z
8,. Don ' t risk this . was and remains the solution .,2021-05-28T22:13:30Z
9,This is criminal .,2021-05-28T21:52:11Z
10,Who is Made in China,2021-05-28T21:39:48Z
11,Disgusting . :// . / - cole - - that - covid - - - more - - than - all - - in - the - past - 20 - - together /,2021-05-28T21:28:31Z
12,sick,2021-05-28T21:22:54Z
13,filth 🤺,2021-05-28T21:21:42Z
14,Serious act of child abuse leave the out of this why stuff up their immune system,2021-05-28T21:15:56Z
15,"Extremely ill - advised , . See ' for Covid Ethics '.",2021-05-28T21:01:26Z
16,cool 🙏,2021-05-28T20:41:45Z
17,Everyone with the Covid19 vaccine needs to be tried for against .,2021-05-29T08:53:46Z
18,KILL SHOT !,2021-05-28T21:06:47Z
19,"and company ne hain ? Agar hain to se mat , .",2021-05-28T16:28:24Z
20,"Army े ि ् ू ो ा ी! ी ि ् ू ो े ा ा ि ! े ें🇮🇳👆 🚩🕉🚩🕉🚩🕉❤,,,",2021-05-28T15:46:23Z
21,👍🏻👍🏻👍🏻,2021-05-29T19:01:31Z
22,ྔོ ་ ོ ་ ི་ ་ ེ ་ ྲུ ་ ་ ་ ོ་ ྱུ ་།,2021-05-29T06:51:14Z
23,is there free vaccine or money la ?❤️❤️❤️,2021-05-28T18:15:07Z
24,ེ་ ་ ོ་ ུ ་,2021-05-28T12:51:41Z
25,you story very important you are good advice new tibet support very good thinking I 🙏💟💟💟,2021-05-28T11:23:00Z
26,"Ama la n fam , may u all b happy n long life .. take care .. lots of love n respect from ..",2021-05-28T10:23:27Z
27,Make video on your journey of motherhood . And what age u gave birth and all .. quite excited,2021-05-28T10:10:27Z
28,Thank you so much for with us 🙏🏻 stay safe may god bless you all 🥰🥰🥰🙏🏻🙏🏻🙏🏻,2021-05-28T09:26:34Z
29,👍😘😍🥰💕🙏,2021-05-28T09:23:16Z
30,Kim la did the right decision to get ... stay safe all of you ...,2021-05-28T08:55:56Z
31,That ’ s awesome good job dear 😘❤️👍,2021-05-28T05:03:41Z
32,👉 Jo message ko pad . - pita ko de 👏👏👏👏,2021-05-28T04:54:29Z
33,Good job 👍,2021-05-28T04:52:09Z
34,་ ི་ ྨ ་ ་ ི ་ ེ ་ ི་ ྨ ་ ི་ ི ་ ་ ེ་ ེ ་?,2021-05-28T04:45:37Z
35,Can I know your ?,2021-05-28T04:42:23Z
36,Support from dear,2021-05-28T04:41:56Z
37,1st comment,2021-05-28T04:40:03Z
