,comments,dateStamp
0,Oh god! When will you deal with the reptilians that are running this world??,2021-05-29T22:04:08Z
1,"Where is the vaccine for poor nation's, kindly send some your bellies are already full.",2021-05-29T16:09:16Z
2,Dirty,2021-05-29T08:59:18Z
3,Victory of SCIENCE,2021-05-29T07:16:49Z
4,"Read ""THE PROMETHEAN RIGHT""",2021-05-29T06:16:23Z
5,This is really the beginning of the end of the world...for everyone.,2021-05-29T01:50:07Z
6,Don't children in that age group have 99.99% rare beating the virus? Why the jab that gives 95% with double shots?!,2021-05-29T00:57:19Z
7,Covid losing steam in the news cycle,2021-05-28T23:04:11Z
8,Ivermectin.  Don't risk this.  Ivermectin was and remains the solution.,2021-05-28T22:13:30Z
9,This is criminal.,2021-05-28T21:52:11Z
10,Who is Made in China,2021-05-28T21:39:48Z
11,"Disgusting. 
https://thetruedefender.com/dr-cole-says-that-covid-shots-caused-more-deaths-than-all-vaccines-in-the-past-20-years-together/",2021-05-28T21:28:31Z
12,sick,2021-05-28T21:22:54Z
13,Luciferian filth🤺,2021-05-28T21:21:42Z
14,Serious act of child abuse   leave the children out of this  why stuff up their immune system,2021-05-28T21:15:56Z
15,"Extremely ill-advised, imo. See 'Doctors for Covid Ethics'.",2021-05-28T21:01:26Z
16,cool 🙏,2021-05-28T20:41:45Z
17,Everyone injecting children with the HIV Covid19 vaccine needs to be tried for crimes against children.,2021-05-29T08:53:46Z
18,KILL SHOT !,2021-05-28T21:06:47Z
19,"Natwarlal and company ne kitne paise diye hain? Agar kuchh karna hain to baccon se mat khelo, bhagbaan bhi maaf nahin karenge.",2021-05-28T16:28:24Z
20,"Israel Army ने हिन्दू को
एक सलाह दी! सभी हिन्दू
को देखना चाहिए! Akhand Hindustan पर देखें🇮🇳👆
🚩🕉🚩🕉🚩🕉❤,,,",2021-05-28T15:46:23Z
21,དགེ་པོ་ཤ་ཚོ་འདུགས་འོ་། བཀྲ་ཤིས་བདེ་ལེགས་།,2021-05-30T00:16:25Z
22,👍🏻👍🏻👍🏻,2021-05-29T19:01:31Z
23,སྔོན་འགོག་གི་ཁབ་ལེགས་འགྲུབ་ལ་དགའ་བོ་བྱུང་།,2021-05-29T06:51:14Z
24,Tashi delek is there free vaccine or paid money  la ?❤️❤️❤️ Gangtok Sikkim india,2021-05-28T18:15:07Z
25,དཔེ་ཡག་པོ་འདུག་,2021-05-28T12:51:41Z
26,Tashi delek you tibetan story very important you are good advice new tibet support tibetan very good thinking I 🙏💟💟💟,2021-05-28T11:23:00Z
27,"Ama yangtso la n fam, may u all b happy n long life..take care..lots of love n respect from mundgod..",2021-05-28T10:23:27Z
28,Make video on your journey of motherhood. And what age u gave birth and all.. quite excited,2021-05-28T10:10:27Z
29,Thank you so much for sharing with us 🙏🏻 stay safe may god bless you all 🥰🥰🥰🙏🏻🙏🏻🙏🏻,2021-05-28T09:26:34Z
30,👍😘😍🥰💕🙏,2021-05-28T09:23:16Z
31,Kim la did the right decision to get vaccinated... stay safe all of you guys... Tashi delek,2021-05-28T08:55:56Z
