,comments,dateStamp
0,"Interesting we haven’t heard of any of these effects on this age group for well over a year. Just now that this vaccine was administered to them? Ok we will go with that. Nothing at all is linked to the vaccine same narrative and people wonder why there’s hesitancy? I’ll tell you, because this news report is misinformation and a ton of BS",2021-05-30T06:48:31Z
1,Then why does it happen right after the vaccine???????,2021-05-28T16:28:04Z
2,Ignorant Dr!! Myocarditis has never been a problem in healthy young people or children without biological heart defects prior to this vaccine! And she talks as though it has been a problem like cancer in the general population. These doctors are why I do not promote green cards or visas for doctors that are paid for by big pharma to tell people such nonsense!,2021-05-29T16:14:12Z
3,All I know is up yours Government and your experimental 💉 gene therapy,2021-05-26T22:24:42Z
4,Like i would believe anything this or any doctor tells me. Doctors aren't what they used to be. Honest and caring.  Now its all about the money.  Dont get the vaccine because you will die from it.,2021-05-26T20:48:37Z
5,And I've had this u dont ususky get chest pain its usually left shoulder pain and it hurts very bad.stabbing sharp pains.,2021-05-26T16:01:51Z
6,The CDC ain't investigating shit give me a break.,2021-05-26T16:00:16Z
7,"""its safe"" 🤡",2021-05-26T15:52:59Z
8,I AGREE WITH YOU 100%,2021-05-27T16:22:39Z
9,noone has any idea whether getting the vaccine is better or worse than getting covid for that individual all they can tell you is statistical chance and even statistics they cant accurately tell anyone at this point because future effects of taking one of these experimental vaccines could end up being a lot worse than recovering from covid they have no idea simply because future effects are completely unknown,2021-05-27T02:16:30Z
10,shes hot,2021-05-27T01:29:11Z
11,Look at India,2021-05-26T21:39:56Z
12,"I love the way you talk about this ""shit show"" out there! You sound like a smart young woman and you are saying exactly what I think with such ingenuity.",2021-05-26T14:07:15Z
13,I was WAITING on some information like this to get out!,2021-05-26T06:34:39Z
14,"the report of 18 teens recently vaccinated  in Conneticut who were  hospitalized is worthy of consideration. We can certainly assume there are other adverse events going unreported. Sadly many of the 300 teens who passed many had co morbidities, The injuries from treatment get the strong ones too.",2021-05-26T19:09:00Z
15,"Then don't vaccinated then. 12 thu 15 years old.  Or 12 and 14  .instead of 
Panicking don't do anything like going to bar or big social get together.
Small outdoor events are fine.

It is easy to not go of all your friends are also staying home. Do more zoom get together and outside things. 
 we still can't communicate online. There are online classes and online programs,  online fitss trainers.",2021-05-28T15:34:20Z
16,"Permanent heart cell damage in young people is rare, temporary and mild.",2021-05-26T16:30:22Z
17,"People,,they are TEENAGERS",2021-05-26T10:59:18Z
18,"""rare"" because they won't tell you the true numbers.",2021-05-26T01:43:31Z
19,The Lockdown is permanent!,2021-05-26T00:26:14Z
20,Sinovac is the safest of all.,2021-05-26T00:25:56Z
21,"I am concerned about these side effects: DVT, immune thrombocytopenia, cerebral venous thrombosis, myocarditis in healthy, young people after mRNA vaccines are leading me to believe vaccination is not always best. I know people who contracted the virus and later had horrible side effects from the vaccine: lingering bad headaches, cycle changes, etc.; other's had mild reactions. There's no way my teen will be getting vaccinated until there is far more information. it's a hard pass on the vaccine! Considering do no harm is the motto, I think it's harmful for the so-called experts like Fauci to suggest teens and kids get this vaccine.",2021-05-25T21:36:58Z
22,Good thing i waited i have not vaccinated my kids and i have not got mines either .  I can wait untill is safe to do so just keep wearing my mask and wash my hands allot . Its been working i have not gotten the virus and not even my kids or husband.,2021-05-25T21:33:17Z
23,I’m sure ABC 7 is convinced that they are doing the public a great service  by reporting the .0001% complications from a vaccine. Way to go guys.,2021-05-25T21:30:37Z
