,comments,dateStamp
0,"Interesting we haven ’ t of any of these effects on this age group for well over a year . Just now that this vaccine was to them ? we will go with that . Nothing at all is linked to the vaccine same narrative and people wonder why there ’ s hesitancy ? I ’ tell you , because this news report is misinformation and a ton of",2021-05-30T06:48:31Z
1,Then why does it happen right after the vaccine ???????,2021-05-28T16:28:04Z
2,Ignorant !! Myocarditis never been a problem in healthy young people or without biological heart prior to this vaccine ! And she as though it been a problem like cancer in the general population . These are why I do not promote green or for that are for by big to tell people such nonsense !,2021-05-29T16:14:12Z
3,All I know is up yours Government and your experimental 💉 gene therapy,2021-05-26T22:24:42Z
4,Like i would believe anything this or any doctor me . ' t what they used to be . Honest and . Now its all about the money . Dont get the vaccine because you will die from it .,2021-05-26T20:48:37Z
5,And I ' had this u dont get chest pain its usually left shoulder pain and it very bad . stabbing sharp .,2021-05-26T16:01:51Z
6,The ' t investigating give me a break .,2021-05-26T16:00:16Z
7,""" its safe "" 🤡",2021-05-26T15:52:59Z
8,I AGREE WITH YOU 100 %,2021-05-27T16:22:39Z
9,any idea whether getting the vaccine is better or worse than getting covid for that individual all they can tell you is statistical chance and even statistics they cant accurately tell anyone at this point because future effects of taking one of these experimental could end up being a lot worse than from covid they have no idea simply because future effects are completely unknown,2021-05-27T02:16:30Z
10,hot,2021-05-27T01:29:11Z
11,Look at,2021-05-26T21:39:56Z
12,"I love the way you talk about this "" show "" out there ! You sound like a smart young woman and you are saying exactly what I think with such ingenuity .",2021-05-26T14:07:15Z
13,I was WAITING on some information like this to get out !,2021-05-26T06:34:39Z
14,"the report of 18 teens recently in who were is worthy of consideration . We can certainly assume there are other adverse going unreported . Sadly many of the 300 teens who many had , The from treatment get the strong too .",2021-05-26T19:09:00Z
15,"Then don ' t then . 12 15 old . Or 12 and 14 . instead of don ' t do anything like going to bar or big social get together . Small outdoor are fine . It is easy to not go of all your are also home . Do more zoom get together and outside . we still can ' t communicate . There are classes and , .",2021-05-28T15:34:20Z
16,"Permanent heart cell damage in young people is rare , temporary and mild .",2021-05-26T16:30:22Z
17,"People ,, they are",2021-05-26T10:59:18Z
18,""" rare "" because they won ' t tell you the true .",2021-05-26T01:43:31Z
19,The is permanent !,2021-05-26T00:26:14Z
20,is the of all .,2021-05-26T00:25:56Z
21,"I am concerned about these side effects : , immune thrombocytopenia , cerebral venous thrombosis , myocarditis in healthy , young people after are leading me to believe vaccination is not always best . I know people who contracted the virus and later had horrible side effects from the vaccine : bad , cycle , .; other ' s had mild . There ' s no way my teen will be getting until there is far more information . it ' s a hard pass on the vaccine ! Considering do no harm is the motto , I think it ' s harmful for the so - like to suggest teens and get this vaccine .",2021-05-25T21:36:58Z
22,Good thing i i have not my and i have not got mines either . I can wait untill is safe to do so just keep wearing my mask and wash my allot . Its been working i have not gotten the virus and not even my or husband .,2021-05-25T21:33:17Z
23,I ’ m sure 7 is convinced that they are doing the public a great service by the . 0001 % from a vaccine . Way to go .,2021-05-25T21:30:37Z
