,comments,dateStamp
0,"Thanks for this , .. excellent report .. we need this review and so people can make an informed decision / consent ..🙂🇬🇧👍",2021-05-28T20:24:00Z
1,"Fear GOD why are people still running out to get this poison after all the and . side effect Who said you are getting Covid 19 ? No way will , I . ever take that poison . or . my . !",2021-05-29T16:11:38Z
2,"And yet and still people are to receive it ,,, for many its a no choice situation if its mandatory for employment ..",2021-05-29T11:47:15Z
3,"The STILL support the vaccine ? I have seen people who have lost right after this shot , and they are still urging people to get it . Somewhere in these people , there is a disconnect or a delusion concerning this injection . We don ' t even know what is in it !",2021-05-28T22:41:24Z
4,And I ’ never tell you it ’ s from the shot and I think that ’ s scary that they won ’ t too many like this have been happening but it ’ s not from the shot oh no all coincidence !!,2021-05-28T19:02:40Z
5,... GETTING THAT LETHAL 💉,2021-05-28T17:20:33Z
6,"is full of hard . COVID also myocarditis , lung damage and blood . How about a little kindness for who have to make these difficult ?",2021-05-28T14:56:38Z
7,It ' s the fault ... Do not give it to your ... Stupid people ... He will be f ** ked up the rest of his life ...,2021-05-28T04:54:35Z
8,I can ' t believe you care so little for your child ' s future that you believe this crap he may have permanent heart damage and yet there still pushing this experimental drug instead of waiting to see if it ' s linked which it probably is .......,2021-05-27T22:15:11Z
9,"’ t it amazing that when someone allegedly of the virus ( although rare ) everyone “ every life ”, but when it ’ s the vaccine the are “ well , it ’ s very rare to have a reaction so getting the vaccine is better ”.",2021-05-27T20:31:28Z
10,they do not care about people and the one thing is control and profit,2021-05-27T20:30:35Z
11,Everyone with the Covid19 vaccine needs to be tried for against .,2021-05-27T09:08:04Z
12,I can ' t believe they are trying to mandate it for the and teens to attend and ....,2021-05-27T08:42:08Z
13,You had a healthy . They just made a lot of money and control on your sons health .,2021-05-27T02:49:20Z
14,"You on here realize this is not political or covid specific . If you to research , vaccine occur all the time , they just are never because it ' t sensational "" journalism "". How many times have you at the flu vaccine to stick around to see if there is a reaction ? your whole life ... it , he ' s fine , move along .",2021-05-26T23:20:23Z
15,Looking at statistics 📈 teens and practically all age have a awesome survival rate so pushing on is very disturbing this is fear mongering at its 🤦‍♀️,2021-05-26T23:12:32Z
16,""" Gasping for air , unable to breath "" but still they put a mask on him . fail me . "" still support the vaccine "" ?! is wrong with people ...",2021-05-26T21:28:26Z
17,Pathetic how the still think people should get the shot .... when are people going to wake up ? These so are doing way more harm than good !,2021-05-26T19:28:12Z
18,The doc at the end better #,2021-05-26T18:54:03Z
19,Not a lab rat or a pin cushion dart board for a drug no one can pronounce .,2021-05-26T17:17:23Z
20,I support Prevention Holistic Green Pharmacy ( naturopath ),2021-05-26T17:14:58Z
21,"Ah , yes . This is becoming more and more common . Vaccinate , everyone ! !! We swear it ' s safe ...",2021-05-26T15:48:11Z
22,Nope not for me or !!! We are not lab !!! Up yours Government !!!,2021-05-26T15:43:58Z
23,I will never take this experimental 💉 gene therapy either for myself or !!! Why people can ' t see the fact this money making scheme was authorized for emergency use NOT !!!,2021-05-26T15:43:04Z
24,This will eventually destroy confidence in our medical system .,2021-05-26T15:37:28Z
25,He can ' t breathe and he a mask on ..,2021-05-26T15:30:59Z
26,"and Regulatory Agency ( ), help from Big tech to use AI to remove any content that speak about covid adverse ( severe life threatening illness that develop afterwards long term ), because they predict the volume will be too high for them to censor . This was done before the mass vaccination test so people will buy into the propaganda and go get it because the is out content that ' t support the drug . This is why the big tech were by the government and drug to only show good news by removing all negative about long term life threatening illness that form from id . Also , any information that goes against the such as ways to cure / recover from covid like iver_mectin , . That way only / media who drank the can advise people . :// ted . . eu / ? = TED : NOTICE : 506291 - 2020 : TEXT : EN : & = 1 The just the cov_id to investigate severe life threatening ( adverse reaction ) that develop after getting the with 2 / 3 being who history of . The experiment will only monitor for 7 days before its regarding the safety of the . So , why the mass when the just ? Is 7 days enough time to evaluate long term safety ? :// . . / news - / news - / - - study - allergic - - - - - covid - 19 - #:~: text = The % 20Moderna % 20and % 20Pfizer % 2D , a % 20history % 20of % 20allergies . Go to the uncensored for all the from real against the and the video of regular people ' s testimonial about ad_verse . . .",2021-05-26T15:23:06Z
27,"This is happening to all , its from the vaccine . Scary !!!!",2021-05-26T15:20:43Z
28,It ’ be fine in the end ... heart condition that was unnecessarily brought on .,2021-05-26T14:34:27Z
29,Why would you support a vaccine that ' s going to kill you or damage your body ?,2021-05-26T14:31:38Z
30,""" "" and "" "" lead by the nose by our great and to recommend the administration of completely untested technology to , to protect them from a disease that zero effect on them statistically",2021-05-26T13:24:42Z
31,I ' d like a second opinion .,2021-05-25T23:22:49Z
32,Wow the utter in san of this because of a flu virus .,2021-05-25T22:46:49Z
33,You are beautiful 😻 I love your smile,2021-05-29T22:57:22Z
34,So we can ’ t say that their is no definitive casual link .... but it ’ s happening ... And yet you still encourage getting the vaccine ?? ’ t we just wait before the entire population ?,2021-05-27T16:03:08Z
35,Still trying to kill people ?,2021-05-26T11:53:46Z
36,Everyone with the Covid19 vaccine needs to be tried for against .,2021-05-26T09:54:28Z
37,My first time watching you was the time you on . Show 😄. Since then I continue to follow you .,2021-05-26T03:15:26Z
38,Thank doc . You are always on point . A big love ❤ from me to you . Please keep on the great work .,2021-05-26T03:11:08Z
39,Thank you Doctor I ' m with you .,2021-05-25T19:25:13Z
40,truly speaking l need you To see you,2021-05-25T18:44:48Z
41,I take reducing . Most people have some soft of cardiac inflammation because of their diet .,2021-05-29T23:37:59Z
42,"This nonsense of getting the experimental drug injection to stop People are being used as lab . These so are out to destroy humanity . Our don ’ t care what to us . They sold out on us . These are and possibly killing People . My goodness when is someone going to stop these evil , maybe they ’ t , but demonic who hate ! Why can ’ t . tam , and the other guy be honest with . Too much money on . Enough with your , you should be Fired , and face .",2021-05-29T22:55:22Z
43,any compensation from the to the people who all these side effects ?,2021-05-29T22:16:41Z
44,Holy hell I ' m losing reading this comment section .,2021-05-29T21:38:07Z
45,"The question to ask would be if young people with COVID get myocarditis . If not , perhaps it might be wiser to primarily vaccinate older people ( or at least people over 35 ), since they ' re more at risk of from COVID , and seem to be less at risk of _at least some_ of the severe side effects of the vaccine .",2021-05-29T21:08:51Z
46,I am a nurse .. never ever of so many side effects from any known vaccine ever The are overwhelming with this Corona Virus vaccine Been giving their for No side effects hardly all Imagine to give this experiment to which is what they are in the US,2021-05-29T20:41:25Z
47,"If your written to then he , you and your may have a long , long wait !",2021-05-29T19:47:44Z
48,Risk all that for a vaccine against something which won ’ t kill you . ?,2021-05-29T19:03:22Z
49,Funny to see worried about their hearts now .🤣🤣🤣 The most obese country in the world where basically live on hot dogs and ’ s they are now worried about a very rare condition a vaccine might pose . Hilarious !! 🤣🤣,2021-05-29T18:53:48Z
50,get van den on show for post vaccine,2021-05-29T18:29:48Z
51,Excellent content . .,2021-05-29T16:41:36Z
52,How about no . Worst case scenario 95 % survival rate from this scam so what do we need to inject poison for ? Oh yeah I know big needs a shot in the arm,2021-05-29T16:29:12Z
53,"I know 10 people that got vaccine , 3 of them got irregular heart , all now on medication for it , shove it up where sun ' t shine .",2021-05-29T16:27:07Z
