,comments,dateStamp
0,,2021-05-28T13:25:00Z
1,"Is there data on vitamin D among COVID ? At time of admission , I mean . Are they * all * at deficiency ? Are * any * at 60 ug / or higher ? I won ' t be if it turns out that this data is not .",2021-05-28T11:51:15Z
2,Brilliant,2021-05-27T13:41:00Z
3,"It all down to being a Vitamin - D deficiency pandemic driven by obesity , T2D and metabolic health . If you research the role this hormone within the human body you will be how important it is . It is pretty much the master hormone for the entire human body and a role in almost every bodily function ( skeletal , immune , neurological , endothelial , gut / mucosal ..). Almost every cell in your body a receptor for it and they are there for a reason . After almost a year of research ( 100s of ) I understand now why the medical and pharmaceutical industry love this deficiency problem and reason they are not it $$$.",2021-05-27T13:35:36Z
4,Wow this was a great discussion on ! For us it was so easy to understand and as usual just brilliant ! Thank you 👏🏻👏🏻👏🏻,2021-05-27T11:27:54Z
5,"May 19 , 2021 ( ) – virologist and Prize winner mass vaccination against the during the pandemic “ unthinkable ” and a historical blunder that is “ the ” and leading to from the disease . How true is this report ?",2021-05-27T08:29:00Z
6,"The that Been is to refute the other , is based on absolute working immune system . If all the are working 100 % then why do we have such a pandemic at all ? ADE is based on from vaccine that can result in a loose attachment to the real virus . When the imperfect are attached loosely to the virus and the innate system does not have as much opportunity to the natural immunity where the innate system would have seen the virus first . I don ' t know but the are saying that the can be detached and the virus then be able to bind to the ACE to enter the cell . I don ' t think the body is capable of every task at 100 % completion and that ' s why we fall sick or take time to recover and that ' s why there ' s transmission because the immune system is not immediate , not absolute .",2021-05-27T08:25:01Z
7,. from said is the same as Taking the vaccine . Is he right ?,2021-05-27T08:00:12Z
8,I really this review . Deeply appreciative thank you !,2021-05-27T07:12:43Z
9,A debate between and you is warranted .,2021-05-27T07:12:42Z
10,"The major problem is in the immune , and not in proper response due to innate , humeral , or cytotoxic arms",2021-05-27T07:04:59Z
11,Thanks for All your 🎀,2021-05-27T05:55:10Z
12,"Why the scientific community did not start the root cause of the problem in order to find an optimal solution ? Back in June 2020 , I that an under - condition that might be common for those on high risk in Covid is THYMUS ATROPHY . People with thymus atrophy do not respond to virus and neither to vaccination . For them , the only solution is medication to improve thymus health . Below you find what I wrote down in June and also the progress of the hypothesis in the scientific community :",2021-05-27T05:32:43Z
13,How can I see your previous Great teacher,2021-05-27T05:07:01Z
14,Hello how do you do This is Alan Your are very informative,2021-05-27T05:06:00Z
15,Please make a video on covid infection - k causing mortality in Brazil,2021-05-27T04:37:59Z
16,Appreciate your last that not to insult anyone based on your . Can ' t imagine anyone else with so much knowledge and down to earth . Great teacher 🙏🙏,2021-05-27T04:30:21Z
17,It that this video slight tilt towards of ADE from previous denial mode . is with lots of clinical material as it is combination of 29 and multiple . We have snails eye and have eye view . Both are important and can be different .,2021-05-27T04:21:27Z
18,"Thank you for a really nice Chit Chat tonight - you a lot of ! So generous with your time . NOW I get to come back here and watch the initial Video , and get your full lesson ! THANK YOU BEEN ! So glad we are helping you get your tech ! ( I go by ' anonymous ' ; ) ).",2021-05-27T03:31:33Z
19,"does acid ( ) that combined with the spike protein of the covid virus have any effect on the ,,, I was thinking in of blood ,, and J + J , I hear in their",2021-05-27T03:26:54Z
20,"been , .... hope u will f9 .... sir I need ur help , my father age 69 year , got second dose of covid 19 vaccination 11 days ago .... after getting the vaccine he is suffer from fever from last 10 days and this is on and off fever .... I am not confirmed but I think this was vaccine .... he got second dose after 24 day duration .... He no other .... suggest test my father",2021-05-27T03:14:41Z
21,"There are of everything , , Dosa , and ways to earn money",2021-05-27T03:06:44Z
22,Do you think the presentation you use will work with the M1 chip ?,2021-05-27T02:06:40Z
23,China ..,2021-05-28T09:27:38Z
24,babu ... ...,2021-05-28T08:29:24Z
25,WHO ె ్ ొ ్ ా ి ి ై ా ా ు ుం ే ె ్ ి ్ ు ు ్ ా ు. ీ ు ై ా ీ,2021-05-26T11:39:12Z
26,WHO is a failure team,2021-05-25T18:54:50Z
27,Ni,2021-05-25T15:52:21Z
28,ra,2021-05-25T15:52:09Z
29,ా ు ా ు ు ి ు ్ ు ు ్ ా ు?😢,2021-05-25T14:10:03Z
30,్ ి ం ా ె ్ ే ో ే ం ు ు ె ్ ి ె ్ ం?,2021-05-25T14:09:18Z
31,Who china virus,2021-05-25T13:13:49Z
32,😁,2021-05-25T13:11:22Z
33,Is he or warning after these many ? Why don ' t they in the beginning ?,2021-05-25T12:50:55Z
34,donga na china,2021-05-25T12:35:15Z
35,E corona . piki corona e .,2021-05-25T12:19:05Z
36,to Remove this WHO wrong person . I think he is with people of the world . And also i think he is with china .,2021-05-25T12:17:08Z
37,WHO ... IS SCHOOL OF ENCOURAGING SUCH A INDIRECTLY,2021-05-25T12:16:23Z
38,"who china ,",2021-05-25T12:04:47Z
39,"e W . H . O corona , ante medicine .",2021-05-28T03:39:40Z
40,First ...,2021-05-26T16:24:48Z
41,,2021-05-26T09:44:32Z
42,W h o is in corporate game,2021-05-25T19:22:32Z
43,e WHO . Em use ??,2021-05-25T17:26:27Z
44,Dont worry WHO we have bodhi dharma in,2021-05-25T17:05:13Z
45,mi WHO .,2021-05-25T16:41:42Z
46,mi WHO .,2021-05-25T16:41:40Z
47,"ీ ో ు ా ీ ్ ో ి ో ు ే ా ్ ా ి ం ి...? ు ు ు ు ు ు ా ్ ి ్ ా, ీ ు ం ు ు ు ్ ే ై ా ా ొ ు ు ు ి ్ ం ా ్ ి ా ం ే ా ు ా. ా ొ ్ ా ా ా ు ు ీ ు ు ు ుం ి ే ా. ా ి ్ ా ్ ి ెం ి ి ై ా ా ొ ు ు ు ె ్ ా ా ా ి .... ు....",2021-05-25T16:32:20Z
48,First new vaccine,2021-05-25T15:49:06Z
49,ీ ి ి ం ిం ిం ్ ా ి ి ై ్ ్ ిం ే ా ్ ో ం ు ు ూ ్ ు ్,2021-05-25T15:37:38Z
50,Ne award year,2021-05-25T15:23:42Z
51,,2021-05-25T15:20:58Z
52,E @ virus,2021-05-25T15:12:40Z
53,,2021-05-25T15:07:06Z
54,,2021-05-25T15:00:38Z
55,ీ ు ం ్ ా ి ీ ా ా ె ు ు ై ా ే ి ్ ు ి ్ ి ె ్ ి ి ్ ు ు ొ ్ ై ్ ్ ుం ి ి ె ు ు ్ ా ా ీ ు ి ్ ు ం ా ే ా ీ ు ె ు ు ై ా ా ్ ు ం ో ై ్ ీ ్ ో ి ్ ా ు ి ం ు ే ె ్ ు ్ ా ా ి ె ు ు,2021-05-25T15:00:12Z
56,ra ne,2021-05-25T13:50:35Z
57,"It ' s he know how many of , he should give full information to World about . know about .",2021-05-25T13:49:18Z
58,All Government medicine company make money so helping they make like helping and taking the people that is medical and Science,2021-05-25T13:28:24Z
59,plan WHO and China world anta,2021-05-25T13:27:16Z
60,Tasker ..,2021-05-25T13:24:53Z
61,,2021-05-25T13:20:48Z
62,"WHO is fully corrupt with .. being WHO , he still panic than giving confidence All this people are on earth",2021-05-25T13:14:57Z
63,never to live peacefully .,2021-05-25T12:59:02Z
64,ి ి ి ం ె ి ు....,2021-05-25T12:45:01Z
65,"ో ా ు ్ ా ి, ్ ం ం ం ం ు ుం ి ే",2021-05-25T12:42:57Z
66,,2021-05-25T12:38:21Z
67,china correct ga investigation ra .,2021-05-25T12:36:54Z
68,Ante maro 5yearsku maro virus,2021-05-25T12:36:42Z
69,"ే ం ్ ా ీ,😢😢😢",2021-05-25T12:14:28Z
70,WHO waste,2021-05-25T12:13:44Z
71,first,2021-05-25T11:56:11Z
72,fellow,2021-05-25T11:54:31Z
73,Video ka show do,2021-05-25T11:50:57Z
74,plus china mana China hint virus,2021-05-25T11:47:39Z
75,New variant,2021-05-25T11:37:09Z
76,ీ ే ె ్ ొం ా,2021-05-25T11:36:09Z
77,్ ు ూ ా ి ి ్ ా ా ్ ా ా,2021-05-25T11:33:03Z
78,waste WHO this is who big miss take covid - 19,2021-05-25T11:33:00Z
79,"How long is there , we will not get vaccination . Either he is listening to the medical people or he is other to help the country .",2021-05-25T11:31:07Z
80,poi,2021-05-25T11:31:00Z
81,,2021-05-25T11:29:48Z
82,"If leaves the post , Corona will also leave the country .",2021-05-25T11:28:25Z
83,check his Bank account ..,2021-05-25T11:28:05Z
84,,2021-05-25T11:27:27Z
85,ీ ు ు ు ు ాం ి ా ్ ీ ా ా ె ె ్ ి ం ే ్ ా ా,2021-05-25T11:27:11Z
86,who ne china tho aa virus nu,2021-05-25T11:26:00Z
87,"్ ం ో ్ ం ్ ో ్ , ి ై ా ొ ్ ు",2021-05-25T11:25:38Z
88,ొ ్ ా ి ి ె ్ ి ్ ో ్ ా ్ ి ్ ా ్ ా ం ె ీ ు ్ ు ు ి ీ ్ ా ి ి ో ్ ి ీ ాం ి ్ ే ్ ెం ్ ్ ో 100 % ్ ్ ా ి ి ో ్ ి ా ి ి ్ ి ి ో ి ా ్ ు ్ ు ం ి ు ్ ా ు,2021-05-25T11:25:34Z
89,First,2021-05-25T11:24:18Z
90,ే ్ ం ి ే ే ా ి ం ే ం ి ా. ా ె ్ ి ం ం ి ్ ా ా,2021-05-25T11:24:09Z
91,China agent,2021-05-25T11:23:49Z
92,,2021-05-25T11:22:58Z
93,Who . na .,2021-05-25T11:22:46Z
94,ు ీ ి ి ం ి ీ ీ ే ా ం ్ ా ా ు ్ ు ు ో ి ె ్ ు ్ ా ు ్ ీ ా ........ ా ు,2021-05-25T11:20:58Z
95,fellow you could have saved millions of ... agent,2021-05-25T11:18:52Z
96,technology tho,2021-05-25T11:18:35Z
97,China dog,2021-05-25T11:14:31Z
98,WHO ?,2021-05-25T11:12:35Z
99,ా ు ం ్ ం ు ం ి,2021-05-25T11:12:22Z
100,WHO president . first .,2021-05-25T11:12:21Z
101,"WHO is talking like a novice and his give no direction to , except fear psychosis",2021-05-25T11:07:00Z
102,ీ ు ా ్ ్ ్ ు ో ం ్ ా ి ూ ా ూ ే ు.. ీ ే ా ు ే ి ి ా ు ..,2021-05-25T11:06:31Z
103,WHO ొ ్ ై ్ ు ి ె ్ ే ి ో ్ ్ ుం ి !!!!! Who is WHO ? Weather it is for world health safety or for giving to China ?,2021-05-25T11:06:24Z
104,ా ె ్ ్ ా ీ ు ్ ు ు ె ి ిం ా. ొ ి ా ై ా ా ి ో ే ు ు ి ి ్ ం ా ్ ి ా ం ే ి ్ ు ు ో ి ె ్ ు ్ ా,2021-05-25T11:03:23Z
105,ు ్ ు ే ు ం ం ే ా ి ్ ్ ు ో ి ొ ాం ూ ా ం ో ుం ి,2021-05-25T11:01:39Z
106,,2021-05-25T11:00:17Z
107,China agent,2021-05-25T10:59:59Z
108,Me positive GA rada virus,2021-05-25T10:59:52Z
109,"ం ు ే ్ ి ో ు ో ా ే ి ( lung capacity and Immunity ) ి ం ా ో ు ి ెం ు ూ ్ ు ా ్ ే ి ు ( fasting immunity , proven ) ాం ా ా ం ూ ్ ి ా ి ( Heavy food immunity )",2021-05-25T10:55:41Z
110,who 2 van,2021-05-25T10:54:34Z
111,,2021-05-25T10:50:55Z
112,Then what are you doing as a WHO .,2021-05-25T10:50:25Z
113,Final wave .. ......,2021-05-25T10:48:50Z
114,,2021-05-25T10:48:30Z
115,China health organization,2021-05-25T10:46:47Z
116,Nee .. ante china virus .,2021-05-25T10:46:08Z
117,West fellow lofffff3eeeeeerrrrrrrr,2021-05-25T10:46:03Z
118,dogs,2021-05-25T10:44:09Z
119,Cho not who,2021-05-25T10:43:59Z
120,Oka China agent,2021-05-25T10:43:11Z
121,"More people have from these "" "" than all other real combined in the last 2 .",2021-05-25T13:26:19Z
122,"As always , we ' d love to include your in our upcoming ! What would you like to know about the pandemic ? #",2021-05-24T15:10:26Z
123,Made in China,2021-05-29T21:38:08Z
124,"I 🙄 why World is still bearing with china even after it is the root cause of many lost of innocent people . It - war / intentionally spread virus which led to pandemic and many have lost their due to china and don ' t you think it is right time to counter them and see that there shall not be any other person who to do again in their life . Why people are still silent ? Don ' t you love your once ? Think of the people whose both are , a newly wedded bride who is lost her husband , and in numerous people lost their every thing and their , these even innocent who never think of & now else you are waiting for be the next ? I urge you all act against these now or it could also happen to you just like innocent , and other 🙏🙏🙏 Hind . World shall unite against them .",2021-05-29T20:49:43Z
125,Why who not Amy s I don ' t know,2021-05-29T20:06:54Z
