,comments,dateStamp
0,Thanks,2021-05-30T09:03:15Z
1,,2021-05-28T13:25:00Z
2,"Is there data on vitamin D among COVID ? At time of admission , I mean . Are they * all * at deficiency ? Are * any * at 60 ug / or higher ? I won ' t be if it turns out that this data is not .",2021-05-28T11:51:15Z
3,Brilliant,2021-05-27T13:41:00Z
4,"It all down to being a Vitamin - D deficiency pandemic driven by obesity , T2D and metabolic health . If you research the role this hormone within the human body you will be how important it is . It is pretty much the master hormone for the entire human body and a role in almost every bodily function ( skeletal , immune , neurological , endothelial , gut / mucosal ..). Almost every cell in your body a receptor for it and they are there for a reason . After almost a year of research ( 100s of ) I understand now why the medical and pharmaceutical industry love this deficiency problem and reason they are not it $$$.",2021-05-27T13:35:36Z
5,Wow this was a great discussion on ! For us it was so easy to understand and as usual just brilliant ! Thank you 👏🏻👏🏻👏🏻,2021-05-27T11:27:54Z
6,"May 19 , 2021 ( ) – virologist and Prize winner mass vaccination against the during the pandemic “ unthinkable ” and a historical blunder that is “ the ” and leading to from the disease . How true is this report ?",2021-05-27T08:29:00Z
7,"The that Been is to refute the other , is based on absolute working immune system . If all the are working 100 % then why do we have such a pandemic at all ? ADE is based on from vaccine that can result in a loose attachment to the real virus . When the imperfect are attached loosely to the virus and the innate system does not have as much opportunity to the natural immunity where the innate system would have seen the virus first . I don ' t know but the are saying that the can be detached and the virus then be able to bind to the ACE to enter the cell . I don ' t think the body is capable of every task at 100 % completion and that ' s why we fall sick or take time to recover and that ' s why there ' s transmission because the immune system is not immediate , not absolute .",2021-05-27T08:25:01Z
8,. from said is the same as Taking the vaccine . Is he right ?,2021-05-27T08:00:12Z
9,I really this review . Deeply appreciative thank you !,2021-05-27T07:12:43Z
10,A debate between and you is warranted .,2021-05-27T07:12:42Z
11,"The major problem is in the immune , and not in proper response due to innate , humeral , or cytotoxic arms",2021-05-27T07:04:59Z
12,Thanks for All your 🎀,2021-05-27T05:55:10Z
13,"Why the scientific community did not start the root cause of the problem in order to find an optimal solution ? Back in June 2020 , I that an under - condition that might be common for those on high risk in Covid is THYMUS ATROPHY . People with thymus atrophy do not respond to virus and neither to vaccination . For them , the only solution is medication to improve thymus health . Below you find what I wrote down in June and also the progress of the hypothesis in the scientific community :",2021-05-27T05:32:43Z
14,How can I see your previous Great teacher,2021-05-27T05:07:01Z
15,Hello how do you do This is Alan Your are very informative,2021-05-27T05:06:00Z
16,Please make a video on covid infection - k causing mortality in Brazil,2021-05-27T04:37:59Z
17,Appreciate your last that not to insult anyone based on your . Can ' t imagine anyone else with so much knowledge and down to earth . Great teacher 🙏🙏,2021-05-27T04:30:21Z
18,It that this video slight tilt towards of ADE from previous denial mode . is with lots of clinical material as it is combination of 29 and multiple . We have snails eye and have eye view . Both are important and can be different .,2021-05-27T04:21:27Z
19,"Thank you for a really nice Chit Chat tonight - you a lot of ! So generous with your time . NOW I get to come back here and watch the initial Video , and get your full lesson ! THANK YOU BEEN ! So glad we are helping you get your tech ! ( I go by ' anonymous ' ; ) ).",2021-05-27T03:31:33Z
