"","comments","event","Date"
"1",".. 1 : 40 in when the narrator about who have taken ‘ the shot ’, they switch to a video of a guy the clip of a gun .. !!!","AZ Clots","2021-05-30"
"2","Stay away from the MARK OF THE BEAST HYDROGEL INJECTION THAT WILL DAMN YOUR SOUL FOREVER .","AZ Clots","2021-05-28"
"3","It ' s just a small bump in the road ... please people we want you to all line up and get your shot !","AZ Clots","2021-05-28"
"4","... line up sheep","AZ Clots","2021-05-28"
"5","The person infected with the virus does not know , if there are such as fever , cough , sore throat , pneumonia , difficulty breathing , pain in the whole body , especially in the , heavy head ... then just swallow the earth dragon alive . time is to stop the of that disease . Without those , life is safe . The virus slowly after . ST .","AZ Clots","2021-05-28"
"6","! Covid , mental .","AZ Clots","2021-05-28"
"7","How many vaccine have been unreported ?","AZ Clots","2021-05-28"
"8","What are the odds that this person would ' a bout of COVID ?","AZ Clots","2021-05-27"
"9","It ' s not the first case of people dying or suffering horrible side effects from any of the . Its just the first one decided to on . Which most likely there is a lot more than 1 and there will be a lot more on the way .","AZ Clots","2021-05-27"
"10","Support Legislation in the to BAN COURT ORDERED RAPE .","AZ Clots","2021-05-27"
"11",", is this the vaccine that so far 2 8 c a s e s o f b l o o d c l o t s a c r o s s C a n a d a ? Is it the same vaccine that rock great Eric such disastrous side effects after taking both in March and , that h e f e a r e d h e w o u l d n e v e r p l a y a g a i n ?? And is it , in fact , the very same vaccine with of due - to - expire - on - May 31st sitting in , that the ' t . is now urging people to take ? Please see my channel Discussion page for links to these and other critical . ( Sort by > first , to view the full list )","AZ Clots","2021-05-27"
"12","Did any of them take themselves ? ...","AZ Clots","2021-05-27"
"13","they away from natural not covid and the cold and the flu are not covid","AZ Clots","2021-05-27"
"14","Safe huh ??? And for emergency used ONLY huh !?","AZ Clots","2021-05-27"
"15","at my age I have a 99 . 9 % of surviving Covid . School is still probably make these mandatory tho","AZ Clots","2021-05-26"
"16","I can ' t wait to see these get theirs .","AZ Clots","2021-05-26"
"17","Still interested in knowing how me getting a vaccine , around me ? Cause it ' t .","AZ Clots","2021-05-26"
"18","It took 5 for Polio vaccine to start killing people , and crippling them , en masse .","AZ Clots","2021-05-26"
"19","one death is too many for a","AZ Clots","2021-05-26"
"20","and most effective vaccine in the world is from China . We need it here , Now","AZ Clots","2021-05-26"
"21","off when talking . On when mouth shut 🤔","AZ Clots","2021-05-26"
